Word,Count,POS,Antonyms
bowed,5,adjective,plucked
boxed,5,verb,unbox
brace,5,verb,sedate;de-energize;de-energise
braid,5,verb,unbraid
brave,5,noun,timid
brave,5,adjective,cowardly
break,5,verb,repair|keep|conform to|make|promote
brine,5,noun,fresh water
bring,5,verb,take away
broad,5,adjective,narrow
broke,5,verb,repair|keep|conform to|make|promote
bumpy,5,adjective,smooth
burst,5,verb,implode
catch,5,verb,unhitch
cease,5,verb,continue|begin
chain,5,verb,unchain
cheap,5,adjective,expensive
check,5,verb,disagree
cheer,5,noun,uncheerfulness
cheer,5,verb,dishearten|complain
child,5,noun,parent
chill,5,verb,heat|heat
choke,5,verb,unclog|be born
chuck,5,verb,keep down
civil,5,adjective,uncivil|sidereal
claim,5,verb,disclaim|forfeit|disclaim
clasp,5,verb,unclasp|unbuckle|unclasp
clean,5,verb,dirty
clean,5,adjective,dirty|unclean|dirty|dirty
clean,5,adverb,unfairly
clear,5,verb,clutter|overcast|bounce|convict
clear,5,adjective,unclear|opaque|ill-defined|cloudy
climb,5,noun,descent
climb,5,verb,wane
close,5,verb,open|open|open|open|open
close,5,adjective,distant|distant|far
cloud,5,verb,clear up
colly,5,verb,clean
color,5,noun,colorlessness
color,5,verb,discolor
color,5,adjective,black-and-white
comfy,5,adjective,uncomfortable
cover,5,verb,uncover
crate,5,verb,uncrate
croak,5,verb,be born
cross,5,verb,uncross
crude,5,adjective,refined
cubic,5,adjective,linear
curly,5,adjective,straight
curse,5,verb,bless|communicate
curst,5,verb,bless|communicate
curst,5,adjective,blessed
curve,5,noun,straight line
death,5,noun,birth|birth
debit,5,noun,credit
debit,5,verb,credit
delay,5,verb,rush
demob,5,verb,mobilize;mobilise
deter,5,verb,persuade
dirty,5,verb,clean
dirty,5,adjective,clean|clean|clean
doubt,5,noun,certainty
draft,5,verb,discharge
drawn,5,verb,push|deposit|repel
dress,5,verb,undress|undress
dried,5,verb,wet
drier,5,adjective,wet|wet|wet|wet|sweet|phlegmy
drive,5,verb,attract
drove,5,verb,attract
drunk,5,adjective,sober
dryer,5,adjective,wet|wet|wet|wet|sweet|phlegmy
dying,5,noun,birth
dying,5,verb,be born
dying,5,adjective,nascent
eager,5,adjective,uneager
eared,5,adjective,earless
early,5,adjective,middle|late|middle
early,5,adverb,late
elate,5,verb,depress
email,5,noun,snail mail;snail mail;snail mail
empty,5,verb,fill|fill
empty,5,adjective,full
ended,5,verb,begin|begin
enemy,5,noun,friend
enjoy,5,verb,suffer
enter,5,verb,exit|drop out
equal,5,verb,differ
equal,5,adjective,unequal|inadequate
erase,5,verb,record
erect,5,verb,level
erect,5,adjective,unerect
exact,5,adjective,inexact
exile,5,verb,repatriate
faced,5,verb,avoid|back
faced,5,adjective,faceless
falls,5,noun,ascent|rise|rise
falls,5,verb,ascend;rise|increase
fancy,5,adjective,plain
fatal,5,adjective,nonfatal
fatso,5,noun,thin person
fatty,5,noun,thin person
fatty,5,adjective,nonfat
fault,5,noun,merit
fault,5,verb,absolve
fauna,5,noun,flora
ferny,5,adjective,fernless
fetch,5,verb,take away
fewer,5,adjective,more|many
finer,5,adjective,coarse
fired,5,verb,hire
first,5,noun,middle
first,5,adjective,last|second
fitly,5,adverb,inappropriately;unsuitably
fixed,5,verb,break|unfasten
fixed,5,adjective,unfixed
float,5,verb,sink
flood,5,noun,ebbtide
flora,5,noun,fauna
flunk,5,noun,passing
flunk,5,verb,pass
focus,5,verb,blur|blur|blur
folly,5,noun,wisdom
force,5,verb,pull|push
forgo,5,verb,postdate|claim
forte,5,noun,weak point
forte,5,adjective,piano
forte,5,adverb,piano
found,5,verb,abolish|lose
found,5,adjective,lost
frail,5,adjective,robust
fresh,5,adjective,stale|preserved|salty
front,5,noun,rear|rear|back
front,5,verb,back
front,5,adjective,back
fully,5,adverb,meagerly
fused,5,verb,defuse
gayly,5,adverb,unhappily
germy,5,adjective,germfree
given,5,verb,take|starve
go in,5,verb,exit
go on,5,verb,discontinue|recede|go off
go to,5,verb,miss
go up,5,verb,fall|descend
going,5,verb,stay in place|come|malfunction|be born|stop
grace,5,noun,unseemliness
grant,5,verb,deny
green,5,adjective,ripe
grime,5,verb,clean
gross,5,adjective,net
guilt,5,noun,innocence
gutsy,5,adjective,gutless
hairy,5,adjective,hairless
happy,5,adjective,unhappy
harsh,5,adjective,fine
hated,5,verb,love
heavy,5,adjective,light|light|light|light|light|light
hired,5,verb,fire
hired,5,adjective,unchartered
hitch,5,verb,unhitch
honor,5,noun,dishonor|dishonor
honor,5,verb,dishonor|disrespect|dishonor
hooks,5,verb,unhook|undercharge
hubby,5,noun,wife
human,5,adjective,nonhuman
hurry,5,verb,delay
idler,5,adjective,busy
inner,5,adjective,outer
ionic,5,adjective,nonionic
issue,5,verb,recall
jaded,5,verb,refresh
james,5,verb,free
jawed,5,adjective,jawless
joint,5,adjective,separate
jolly,5,adverb,unreasonably;immoderately
jolty,5,adjective,smooth
juicy,5,adjective,juiceless
jumpy,5,adjective,smooth
keyed,5,adjective,keyless
knock,5,verb,praise
known,5,verb,ignore
known,5,adjective,unknown
laced,5,verb,untwine
laced,5,adjective,unlaced
laity,5,noun,clergy
large,5,adjective,small;little
later,5,adjective,early|early|early|early
laugh,5,verb,cry
leafy,5,adjective,leafless
leaky,5,adjective,tight
least,5,adjective,most
least,5,adverb,most
leave,5,verb,arrive|enter|disinherit
legal,5,adjective,illegal
level,5,verb,raise
licit,5,adjective,illicit
light,5,noun,dark
light,5,verb,extinguish
light,5,adjective,heavy|dark|heavy|heavy|heavy|dark|heavy|heavy
liked,5,verb,dislike
liked,5,adjective,disliked
lined,5,adjective,unlined
links,5,noun,disconnectedness
links,5,verb,dissociate|disconnect
liven,5,verb,deaden
loamy,5,adjective,loamless
local,5,noun,express
local,5,adjective,national|general
lodge,5,verb,dislodge
loose,5,verb,confine|stiffen|stiffen
loose,5,adjective,compact|tight|affixed
loser,5,noun,winner|achiever|winner
lossy,5,adjective,lossless
lotic,5,adjective,lentic
loved,5,verb,hate
loved,5,adjective,unloved
lower,5,verb,raise
lower,5,adjective,high|high|high
loyal,5,adjective,disloyal|unpatriotic
lucky,5,adjective,unlucky
lying,5,verb,stand|arise
lyric,5,adjective,dramatic
madly,5,adverb,sanely
major,5,adjective,minor|minor|minor|minor|minor|minor|minor
manly,5,adjective,unmanly
manly,5,adverb,unmanfully
marks,5,verb,ignore
match,5,verb,disagree
mated,5,verb,disentangle;unsnarl
mated,5,adjective,unmated
mates,5,verb,disentangle;unsnarl
meaty,5,adjective,meatless
mercy,5,noun,mercilessness
merge,5,verb,disunify
merit,5,noun,demerit
mesic,5,adjective,xeric
metal,5,adjective,nonmetallic
mined,5,adjective,unmined
minor,5,adjective,major|major|major|major|major|major|major
minus,5,adjective,plus
mixed,5,verb,segregate
molar,5,adjective,molecular
moony,5,adjective,moonless
moral,5,adjective,immoral
mount,5,verb,wane|hop out
moved,5,verb,stay in place|stand still|stay|rest|refrain
moved,5,adjective,unmoved
nadir,5,noun,zenith
naive,5,adjective,sophisticated
nasty,5,adjective,nice
needs,5,verb,obviate
ne'er,5,adverb,ever
never,5,adverb,ever
niece,5,noun,nephew
night,5,noun,day
noble,5,noun,Lady;noblewoman
noble,5,adjective,lowborn|ignoble
no-go,5,adjective,go
noisy,5,adjective,quiet
north,5,adjective,south
nosed,5,adjective,noseless
noted,5,verb,ignore
nurse,5,verb,bottlefeed
often,5,adverb,infrequently;rarely
oiled,5,adjective,unoiled
older,5,adjective,young|new
order,5,noun,disorder|disorderliness;disorder
order,5,verb,deregulate|disorder
other,5,adjective,same
outer,5,adjective,inner|safe
outgo,5,noun,income
overt,5,adjective,covert
owned,5,adjective,unowned
pains,5,noun,pleasure
paved,5,adjective,unpaved
peace,5,noun,war
peach,5,verb,keep quiet
petty,5,noun,grand larceny
piano,5,adjective,forte
piano,5,adverb,forte
piece,5,verb,disassemble
piety,5,noun,impiety
pious,5,adjective,impious
place,5,verb,divest
plain,5,verb,cheer
plain,5,adjective,fancy|patterned
pluck,5,noun,gutlessness
pluck,5,verb,undercharge
plume,5,verb,undercharge
point,5,noun,unpointedness
polar,5,adjective,equatorial
posed,5,adjective,unposed
power,5,noun,powerlessness;powerlessness|inability
pride,5,noun,humility
prink,5,verb,underdress;dress down
prise,5,verb,disrespect;disesteem
prize,5,verb,disrespect;disesteem
proud,5,adjective,humble
prove,5,verb,disprove
purge,5,verb,rehabilitate|keep down
quash,5,verb,validate
queen,5,noun,king;male monarch
query,5,noun,answer
quiet,5,noun,sound
quiet,5,verb,louden|agitate
quiet,5,adjective,unquiet|noisy|active
quiet,5,adverb,unquietly
quits,5,verb,continue|take office|stay|enter
raise,5,noun,descent
raise,5,verb,lower|level|demote
rally,5,verb,demobilize
ravel,5,verb,unravel;unknot
razed,5,verb,raise
ready,5,adjective,unready
recto,5,noun,verso
relax,5,verb,tense|stiffen|tense;strain
repel,5,verb,attract|attract
retch,5,verb,keep down
right,5,noun,left|wrong;wrongfulness
right,5,verb,wrong|falsify
right,5,adjective,left|incorrect;wrong|wrong|wrong|left
right,5,adverb,left|improperly|incorrectly;wrongly
rigid,5,adjective,nonrigid
rings,5,noun,open chain
risen,5,verb,fall|sit down|wane|go to bed;turn in|set
robed,5,verb,undercharge
rocky,5,adjective,smooth
roots,5,noun,descendant
rotor,5,noun,stator
rough,5,adjective,smooth|smooth|smooth|cut
round,5,adjective,square
rouse,5,verb,calm|cause to sleep
rural,5,adjective,urban
sadly,5,adverb,happily
salty,5,adjective,fresh
sandy,5,adjective,argillaceous
saved,5,adjective,lost
scent,5,verb,deodorize;deodourise
scrag,5,noun,fat person
screw,5,verb,unscrew
seedy,5,adjective,seedless
shame,5,verb,honor
sharp,5,adjective,dull|dull|flat
shiny,5,adjective,unglazed
shoed,5,adjective,unshod
shorn,5,adjective,unsheared
short,5,adjective,long|long|tall|retentive|long|long
shout,5,verb,whisper
sized,5,adjective,unsized|unsized
sleep,5,verb,wake
small,5,adjective,large;big
small,5,adverb,big
smart,5,adjective,stupid
smoky,5,adjective,smokeless
snarl,5,verb,disentangle;unsnarl
sober,5,adjective,intoxicated|playful
soled,5,adjective,soleless
solid,5,adjective,liquid|hollow
sonic,5,adjective,subsonic
sorry,5,adjective,unregretful
so-so,5,adverb,unacceptably;intolerably
sound,5,noun,silence
sound,5,verb,devoice
sound,5,adjective,unsound|unsound
south,5,adjective,north
speed,5,verb,linger|decelerate|decelerate
spell,5,verb,unspell
spelt,5,verb,unspell
spent,5,adjective,unexhausted
spiny,5,adjective,spineless
split,5,verb,unite
stale,5,adjective,fresh
stand,5,verb,sit|yield
start,5,noun,middle|finish
start,5,verb,end|end|end|stop|stop
stays,5,verb,change|move|depart
steep,5,adjective,gradual
stick,5,verb,dislodge|move
stiff,5,adjective,impotent
still,5,verb,agitate|louden
still,5,adjective,moving|sparkling
still,5,adverb,no longer
stoic,5,noun,emotional person
stops,5,noun,continuant consonant
stops,5,verb,start|continue|start|begin
strap,5,verb,unstrap
strip,5,verb,dress
stuck,5,verb,dislodge|move
stuck,5,adjective,unstuck
stuff,5,verb,unstuff
sunup,5,noun,sunset
supra,5,adverb,below
surge,5,verb,ebb
swear,5,verb,mistrust
sweet,5,adjective,sour|dry|salty
swept,5,adjective,unswept
sworn,5,verb,mistrust
sworn,5,adjective,unsworn
tails,5,noun,head
taint,5,verb,disinfect
taken,5,verb,give|refuse|obviate|abstain|disclaim
talks,5,verb,keep quiet
tally,5,verb,disagree
tamed,5,adjective,wild
tamer,5,adjective,wild|wild
taped,5,verb,erase
tasty,5,adjective,tasteless
tense,5,verb,relax|relax;unstrain
tense,5,adjective,relaxed|lax|lax
there,5,noun,here
there,5,adverb,here|here
thick,5,adjective,thin|thin
thick,5,adverb,thinly
think,5,verb,forget
tight,5,adjective,loose|leaky
timid,5,noun,brave
timid,5,adjective,bold|confident
tired,5,verb,refresh|interest
tired,5,adjective,rested
tonal,5,adjective,atonal
toned,5,adjective,toneless
tonic,5,adjective,atonic
tonus,5,noun,atonicity
toper,5,noun,nondrinker
tough,5,adjective,tender|tender|tender
toxic,5,adjective,nontoxic
truly,5,adverb,insincerely
trust,5,noun,distrust
trust,5,verb,mistrust
truth,5,noun,falsity|falsehood|inaccuracy
tubed,5,adjective,tubeless
twine,5,verb,untwine|unwind|untwist
twist,5,verb,unbend|untwist
tying,5,verb,untie|disconnect
unbar,5,verb,bar
unbox,5,verb,box
uncle,5,noun,aunt
uncut,5,adjective,trimmed|mown|cut|cut|cut
undue,5,adjective,due|due
unfit,5,verb,qualify
unfit,5,adjective,fit|fit
unify,5,verb,disunify|divide
union,5,noun,separation|disunion
union,5,adjective,nonunion
unite,5,verb,divide|disunify
unlax,5,verb,tense;strain
unlit,5,adjective,lighted
unpin,5,verb,pin
untie,5,verb,tie
unzip,5,verb,zip up
urban,5,adjective,rural
usual,5,adjective,unusual
utile,5,adjective,useless
vague,5,adjective,defined
valid,5,adjective,invalid
value,5,verb,disrespect;disesteem
varus,5,noun,valgus
verso,5,noun,recto|obverse
vexed,5,verb,reassure
vocal,5,adjective,instrumental
voice,5,verb,devoice
vomit,5,verb,keep down
vowel,5,noun,consonant
waive,5,verb,claim
waken,5,verb,cause to sleep|fall asleep
waste,5,verb,conserve
waxed,5,verb,wane|wane
waxed,5,adjective,unwaxed
weary,5,verb,refresh
weave,5,verb,unweave
wedge,5,verb,dislodge
weeds,5,noun,cultivated plant
weedy,5,adjective,weedless
white,5,noun,black|black
white,5,verb,blacken
white,5,adjective,black|black
whole,5,adjective,fractional|half
whole,5,adverb,partly
widen,5,verb,narrow|take in
wired,5,verb,unwire
wired,5,adjective,wireless
woman,5,noun,man|man
woody,5,adjective,nonwoody
works,5,verb,idle|malfunction
worry,5,verb,reassure
worse,5,adjective,better|better|good|unregretful
worst,5,noun,best
worst,5,adjective,best|good|unregretful
worth,5,noun,worthlessness
wound,5,verb,unwind
woven,5,verb,unweave
woven,5,adjective,unwoven
wrong,5,noun,right;rightfulness
wrong,5,verb,right
wrong,5,adjective,correct;right|right|right
wrong,5,adverb,correctly;right
xeric,5,adjective,hydric
yield,5,verb,stand|survive
young,5,noun,aged
young,5,adjective,old
youth,5,noun,aged
zonal,5,adjective,azonal
