Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
adult,5,big,full-grown,fully grown,grown,grownup,mature (similar term),
adult,5,grownup,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term),soul (generic term)
adult,5,animal (generic term),animate being (generic term),beast (generic term),brute (generic term),creature (generic term),fauna (generic term),
adust,5,baked,parched,scorched,sunbaked,dry (similar term),,
adust,5,brunet (similar term),brunette (similar term),,,,,
advil,5,ibuprofen,isobutylphenyl propionic acid,Advil,Motrin,Nuprin,nonsteroidal anti-inflammatory (generic term),nonsteroidal anti-inflammatory drug (generic term)
aedes,5,Aedes,genus Aedes,arthropod genus (generic term),,,,
aegir,5,tidal bore,bore,eagre,eager,tidal flow (generic term),tidal current (generic term),
aegis,5,auspices,protection,endorsement (generic term),indorsement (generic term),,,
aegis,5,breastplate,egis,armor plate (generic term),armour plate (generic term),armor plating (generic term),plate armor (generic term),plate armour (generic term)
aerie,5,aery,eyrie,eyry,bird's nest (generic term),bird nest (generic term),birdnest (generic term),
aerie,5,aery,eyrie,eyry,habitation (generic term),,,
aesir,5,Aesir,Norse deity (generic term),,,,,
aesop,5,Aesop,fabulist (generic term),,,,,
affix,5,bound morpheme (generic term),bound form (generic term),,,,,
affix,5,stick on,attach (generic term),,,,,
affix,5,append,add on,supplement,attach (generic term),,,
affix,5,attach (generic term),,,,,,
afire,5,ablaze,aflame,aflare,alight,blazing,burning,flaming
afisr,5,Air Force Intelligence Surveillance and Reconnaissance,Air Force ISR,AFISR,agency (generic term),federal agency (generic term),government agency (generic term),bureau (generic term)
afoot,5,moving (similar term),,,,,,
afoot,5,underway,current (similar term),,,,,
afoul,5,foul,fouled,tangled (similar term),,,,
afspc,5,Air Force Space Command,AFSPC,command (generic term),,,,
after,5,aft (similar term),,,,,,
after,5,subsequently,later,afterwards,afterward,later on,,
again,5,once again,once more,over again,,,,
agama,5,agamid (generic term),agamid lizard (generic term),,,,,
agape,5,gaping,open (similar term),opened (similar term),,,,
agape,5,love (generic term),,,,,,
agape,5,agape love,love (generic term),,,,,
agape,5,love feast,religious ceremony (generic term),religious ritual (generic term),,,,
agate,5,chalcedony (generic term),calcedony (generic term),,,,,
agave,5,century plant,American aloe,desert plant (generic term),xerophyte (generic term),xerophytic plant (generic term),xerophile (generic term),xerophilous plant (generic term)
agaze,5,staring,open (similar term),opened (similar term),,,,
agene,5,nitrogen trichloride,Agene,trichloride (generic term),,,,
agent,5,causal agent (generic term),cause (generic term),causal agency (generic term),,,,
agent,5,causal agent (generic term),cause (generic term),causal agency (generic term),,,,
agent,5,representative (generic term),,,,,,
agent,5,factor,broker,businessperson (generic term),bourgeois (generic term),,,
agent,5,federal agent,official (generic term),functionary (generic term),,,,
agent,5,agentive role,semantic role (generic term),participant role (generic term),,,,
aggro,5,aggravation (generic term),irritation (generic term),provocation (generic term),,,,
aghan,5,Aghan,Margasivsa,Hindu calendar month (generic term),,,,
agile,5,nimble,quick,spry,active (similar term),,,
agile,5,nimble,intelligent (similar term),,,,,
aging,5,ageing,senescent,old (similar term),,,,
aging,5,ageing,senescence,organic process (generic term),biological process (generic term),,,
aging,5,ripening,ageing,organic process (generic term),biological process (generic term),,,
agism,5,ageism,discrimination (generic term),favoritism (generic term),favouritism (generic term),,,
aglet,5,aiglet,sheath (generic term),,,,,
aglet,5,aiglet,aiguilette,braid (generic term),gold braid (generic term),braiding (generic term),,
aglow,5,lambent,lucent,luminous,bright (similar term),,,
agone,5,ago,past (similar term),,,,,
agony,5,torment,torture,suffering (generic term),hurt (generic term),,,
agony,5,suffering,excruciation,pain (generic term),hurting (generic term),,,
agora,5,Israeli monetary unit (generic term),,,,,,
agora,5,marketplace (generic term),mart (generic term),,,,,
agora,5,public square,marketplace (generic term),mart (generic term),,,,
agree,5,hold,concur,concord,disagree (antonym),,,
agree,5,accept (generic term),consent (generic term),go for (generic term),,,,
agree,5,match,fit,correspond,check,jibe,gibe,tally
agree,5,harmonize,harmonise,consort,accord,concord,fit in,match (generic term)
agree,5,suit (generic term),,,,,,
ahead,5,in the lead,leading,up (similar term),,,,
ahead,5,in front,before,,,,,
ahead,5,forward,backward (antonym),back (antonym),,,,
ahead,5,onward,onwards,forward,forwards,forrader,,
ahead,5,in advance,beforehand,,,,,
ahead,5,out front,in the lead,,,,,
ahura,5,Ahura,Hindu deity (generic term),,,,,
aided,5,assisted,motor-assisted (similar term),power-assisted (similar term),unassisted (antonym),,,
aides,5,Pluto,Hades,Aides,Aidoneus,Greek deity (generic term),,
aiken,5,Aiken,Conrad Aiken,Conrad Potter Aiken,writer (generic term),author (generic term),,
ailey,5,Ailey,Alvin Ailey,choreographer (generic term),,,,
aioli,5,aioli sauce,garlic sauce,sauce (generic term),,,,
aired,5,airy,ventilated (similar term),,,,,
aisle,5,passage (generic term),,,,,,
aisle,5,gangway,passageway (generic term),,,,,
aisle,5,area (generic term),,,,,,
ajaia,5,Ajaia,genus Ajaia,bird genus (generic term),,,,
ajuga,5,Ajuga,genus Ajuga,asterid dicot genus (generic term),,,,
akaba,5,Al Aqabah,Aqaba,Akaba,city (generic term),metropolis (generic term),urban center (generic term),
akron,5,Akron,city (generic term),metropolis (generic term),urban center (generic term),,,
alamo,5,Alamo,siege (generic term),besieging (generic term),beleaguering (generic term),military blockade (generic term),slaughter (generic term),massacre (generic term)
alarm,5,dismay,consternation,fear (generic term),fearfulness (generic term),fright (generic term),,
alarm,5,warning device,alarm system,device (generic term),,,,
alarm,5,alert,warning signal,alarum,signal (generic term),signaling (generic term),sign (generic term),
alarm,5,alarm clock,clock (generic term),,,,,
alarm,5,dismay,appal,appall,horrify,frighten (generic term),fright (generic term),scare (generic term)
alarm,5,alert,warn (generic term),,,,,
alary,5,alar,aliform,wing-shaped,winged (similar term),,,
alate,5,alated,winged (similar term),,,,,
albee,5,Albee,Edward Albee,Edward Franklin Albeen,dramatist (generic term),playwright (generic term),,
album,5,record album,medium (generic term),,,,,
album,5,book (generic term),volume (generic term),,,,,
alcea,5,Alcea,genus Alcea,dilleniid dicot genus (generic term),,,,
alces,5,Alces,genus Alces,mammal genus (generic term),,,,
alder,5,wood (generic term),,,,,,
alder,5,alder tree,tree (generic term),,,,,
aldol,5,aldehyde-alcohol,organic compound (generic term),,,,,
aleph,5,letter (generic term),letter of the alphabet (generic term),alphabetic character (generic term),,,,
alert,5,argus-eyed (similar term),open-eyed (similar term),vigilant (similar term),wakeful (similar term),watchful (similar term),fly (similar term),heads-up (similar term)
alert,5,intelligent (similar term),,,,,,
alert,5,awake,conscious (similar term),,,,,
alert,5,alive,awake,aware (similar term),cognizant (similar term),cognisant (similar term),,
alert,5,qui vive,readiness (generic term),preparedness (generic term),preparation (generic term),,,
alert,5,alerting,warning (generic term),,,,,
alert,5,alarm,warning signal,alarum,signal (generic term),signaling (generic term),sign (generic term),
alert,5,alarm,warn (generic term),,,,,
aleut,5,Aleut,Aleutian,Indian (generic term),American Indian (generic term),Red Indian (generic term),,
aleut,5,Aleut,Eskimo-Aleut (generic term),Eskimo-Aleut language (generic term),,,,
aleve,5,naproxen sodium,Aleve,Anaprox,Aflaxen,nonsteroidal anti-inflammatory (generic term),nonsteroidal anti-inflammatory drug (generic term),NSAID (generic term)
algae,5,alga,protoctist (generic term),,,,,
algal,5,protoctist (related term),,,,,,
alger,5,Alger,Horatio Alger,writer (generic term),author (generic term),,,
algid,5,cold (similar term),,,,,,
algin,5,alginic acid,gum (generic term),,,,,
algol,5,Algol,binary star (generic term),binary (generic term),double star (generic term),,,
algol,5,ALGOL,algebraic language (generic term),,,,,
alias,5,assumed name,false name,name (generic term),,,,
alias,5,a.k.a.,also known as,,,,,
alibi,5,defense (generic term),defence (generic term),vindication (generic term),,,,
alibi,5,excuse,exculpation,self-justification,defense (generic term),defence (generic term),vindication (generic term),
alibi,5,excuse (generic term),explain (generic term),,,,,
alien,5,foreign,extrinsic (similar term),,,,,
alien,5,exotic,foreign (similar term),strange (similar term),,,,
alien,5,foreigner,noncitizen,outlander,traveler (generic term),traveller (generic term),citizen (antonym),
alien,5,stranger,unknown,intruder (generic term),interloper (generic term),trespasser (generic term),,
alien,5,extraterrestrial being,extraterrestrial,hypothetical creature (generic term),,,,
alien,5,alienate,transfer (generic term),,,,,
alien,5,estrange,alienate,disaffect,change (generic term),alter (generic term),modify (generic term),
align,5,aline,line up,adjust,reorient (generic term),skew (antonym),,
align,5,match (generic term),fit (generic term),correspond (generic term),check (generic term),jibe (generic term),gibe (generic term),tally (generic term)
align,5,array,stand (generic term),,,,,
align,5,ordinate,coordinate,adjust (generic term),set (generic term),correct (generic term),,
alike,5,similar,like,unalike (antonym),,,,
alike,5,likewise,,,,,,
aline,5,align,line up,adjust,reorient (generic term),skew (antonym),,
alive,5,live,liveborn (similar term),viable (similar term),vital (similar term),animate (related term),dead (antonym),
alive,5,lively (similar term),,,,,,
alive,5,animated,enlivened (similar term),spirited (similar term),full of life (similar term),lively (similar term),vital (similar term),reanimated (similar term)
alive,5,sensitive (similar term),,,,,,
alive,5,active,existent (similar term),existing (similar term),,,,
alive,5,alert,awake,aware (similar term),cognizant (similar term),cognisant (similar term),,
alive,5,live,active (similar term),,,,,
alkyd,5,alkyd resin,synthetic resin (generic term),,,,,
alkyl,5,alkyl group,alkyl radical,group (generic term),radical (generic term),chemical group (generic term),,
allah,5,Allah,God (generic term),Supreme Being (generic term),,,,
allay,5,still,relieve,ease,comfort (generic term),soothe (generic term),console (generic term),solace (generic term)
allay,5,quench,slake,assuage,meet (generic term),satisfy (generic term),fill (generic term),fulfill (generic term)
allen,5,Allen,Gracie Allen,Grace Ethel Cecile Rosalie Allen,Gracie,comedienne (generic term),,
allen,5,Allen,Woody Allen,Allen Stewart Konigsberg,film maker (generic term),filmmaker (generic term),film producer (generic term),movie maker (generic term)
allen,5,Allen,Ethan Allen,soldier (generic term),,,,
alley,5,alleyway,back street,street (generic term),,,,
alley,5,bowling alley,skittle alley,lane (generic term),,,,
allis,5,allice shad,allis shad,allice,Alosa alosa,shad (generic term),,
allot,5,assign,portion,distribute (generic term),administer (generic term),mete out (generic term),deal (generic term),parcel out (generic term)
allot,5,accord,grant,give (generic term),,,,
allot,5,distribute,administer,mete out,deal,parcel out,lot,dispense
allow,5,let,permit,prevent (antonym),,,,
allow,5,permit,let,countenance,accept (generic term),consent (generic term),go for (generic term),disallow (antonym)
allow,5,grant,give (generic term),deny (antonym),,,,
allow,5,appropriate,earmark,set aside,reserve,assign (generic term),allot (generic term),portion (generic term)
allow,5,leave,allow for,provide,yield (generic term),give (generic term),afford (generic term),
allow,5,take into account,calculate (generic term),estimate (generic term),reckon (generic term),count on (generic term),figure (generic term),forecast (generic term)
allow,5,admit,,,,,,
allow,5,give up,,,,,,
allow,5,discount (generic term),,,,,,
allow,5,permit,tolerate,permit (generic term),allow (generic term),let (generic term),countenance (generic term),
alloy,5,metal,mixture (generic term),,,,,
alloy,5,admixture,impurity (generic term),impureness (generic term),,,,
alloy,5,debase,devalue (generic term),,,,,
alloy,5,blend (generic term),flux (generic term),mix (generic term),conflate (generic term),commingle (generic term),immix (generic term),fuse (generic term)
allyl,5,allyl group,allyl radical,group (generic term),radical (generic term),chemical group (generic term),,
alnus,5,Alnus,genus Alnus,hamamelid dicot genus (generic term),,,,
aloes,5,bitter aloes,purgative (generic term),cathartic (generic term),physic (generic term),aperient (generic term),,
aloha,5,ciao,acknowledgment (generic term),acknowledgement (generic term),,,,
alone,5,unsocial (similar term),,,,,,
alone,5,lone,lonely,solitary,unaccompanied (similar term),,,
alone,5,only,exclusive (similar term),,,,,
alone,5,unique,unequaled,unequalled,unparalleled,incomparable (similar term),uncomparable (similar term),
alone,5,entirely,exclusively,solely,only,,,
alone,5,solo,unaccompanied,,,,,
along,5,on,,,,,,
aloof,5,distant,upstage,reserved (similar term),,,,
alosa,5,Alosa,genus Alosa,fish genus (generic term),,,,
alost,5,Alost,Aalost,town (generic term),,,,
aloud,5,out loud,,,,,,
aloud,5,loudly,loud,softly (antonym),,,,
alpha,5,important (similar term),of import (similar term),,,,,
alpha,5,exploratory (similar term),explorative (similar term),,,,,
alpha,5,letter (generic term),letter of the alphabet (generic term),alphabetic character (generic term),,,,
alpha,5,start (generic term),,,,,,
altar,5,communion table,Lord's table,table (generic term),,,,
altar,5,structure (generic term),construction (generic term),,,,,
alter,5,change,modify,,,,,
alter,5,change,vary,,,,,
alter,5,change (generic term),alter (generic term),modify (generic term),,,,
alter,5,interpolate,falsify,edit (generic term),redact (generic term),,,
alter,5,neuter,spay,castrate,sterilize (generic term),sterilise (generic term),desex (generic term),unsex (generic term)
alula,5,calypter,squama (generic term),,,,,
alula,5,bastard wing,spurious wing,feather (generic term),plume (generic term),plumage (generic term),,
amass,5,accumulate,cumulate,conglomerate,pile up,gather,increase (generic term),
amass,5,roll up,collect,accumulate,pile up,compile,hoard,store (generic term)
amati,5,Amati,Nicolo Amati,Nicola Amati,violin maker (generic term),,,
amati,5,Amati,violin (generic term),fiddle (generic term),,,,
amaze,5,astonish,astound,surprise (generic term),,,,
amaze,5,perplex,vex,stick,get,puzzle,mystify,baffle
amber,5,brownish-yellow,yellow-brown,chromatic (similar term),,,,
amber,5,gold,yellow (generic term),yellowness (generic term),,,,
amber,5,natural resin (generic term),,,,,,
ambit,5,scope,range,reach,orbit,compass,extent (generic term),
amble,5,promenade,saunter,stroll,perambulation,walk (generic term),,
amble,5,mosey,walk (generic term),,,,,
ameba,5,amoeba,rhizopod (generic term),rhizopodan (generic term),,,,
ameer,5,emir,amir,emeer,ruler (generic term),swayer (generic term),,
amend,5,revise (generic term),,,,,,
amend,5,better,improve,ameliorate,meliorate,change (generic term),alter (generic term),modify (generic term)
amend,5,rectify,remediate,remedy,repair,correct (generic term),rectify (generic term),right (generic term)
ament,5,catkin,inflorescence (generic term),,,,,
amide,5,organic compound (generic term),,,,,,
amigo,5,friend (generic term),,,,,,
amine,5,aminoalkane,methane series (generic term),alkane series (generic term),alkane (generic term),paraffin series (generic term),paraffin (generic term),
amino,5,aminic,methane series,alkane series,alkane,paraffin series,paraffin (related term),
amino,5,amino group,group (generic term),radical (generic term),chemical group (generic term),,,
amish,5,Amish,Mennonite (generic term),,,,,
amiss,5,awry,haywire,wrong,malfunctioning (similar term),nonfunctional (similar term),,
amiss,5,awry,,,,,,
amiss,5,imperfectly,perfectly (antonym),,,,,
amity,5,cordiality,friendliness (generic term),,,,,
amity,5,peace (generic term),,,,,,
amman,5,Amman,capital of Jordan,national capital (generic term),,,,
amnic,5,amniotic,amnionic,sac (related term),,,,
amnio,5,amniocentesis,centesis (generic term),prenatal diagnosis (generic term),,,,
amora,5,rabbi (generic term),,,,,,
amort,5,dejected (similar term),,,,,,
amour,5,affair,affaire,intimacy,liaison,involvement,sexual relationship (generic term),
ample,5,full (similar term),good (similar term),generous (similar term),wide (similar term),wide-cut (similar term),full (similar term),abundant (related term)
ample,5,copious,plenteous,plentiful,rich,abundant (similar term),,
ample,5,sizable,sizeable,large (similar term),big (similar term),,,
amply,5,richly,meagerly (antonym),,,,,
amply,5,fully,meagerly (antonym),,,,,
ampul,5,phial,vial,ampule,ampoule,bottle (generic term),,
amuck,5,amok,berserk,demoniac,demoniacal,possessed,insane (similar term),
amuck,5,amok,,,,,,
amuck,5,amok,murderously,,,,,
amusd,5,Doctor of Musical Arts,AMusD,doctor's degree (generic term),doctorate (generic term),,,
amuse,5,divert,disport,entertain (generic term),,,,
amuse,5,cheer (generic term),cheer up (generic term),jolly along (generic term),jolly up (generic term),,,
anasa,5,Anasa,genus Anasa,arthropod genus (generic term),,,,
andes,5,Andes,range (generic term),mountain range (generic term),range of mountains (generic term),chain (generic term),mountain chain (generic term),chain of mountains (generic term)
anele,5,anoint,inunct,oil,embrocate,bless (generic term),,
angas,5,Angas,West Chadic (generic term),,,,,
angel,5,spiritual being (generic term),supernatural being (generic term),,,,,
angel,5,saint,holy man,holy person,good person (generic term),,,
angel,5,backer,patron (generic term),sponsor (generic term),supporter (generic term),,,
angel,5,Angel,Angel Falls,waterfall (generic term),falls (generic term),,,
anger,5,choler,ire,emotion (generic term),,,,
anger,5,angriness,emotional arousal (generic term),,,,,
anger,5,wrath,ire,ira,mortal sin (generic term),deadly sin (generic term),,
anger,5,arouse (generic term),elicit (generic term),enkindle (generic term),kindle (generic term),evoke (generic term),fire (generic term),raise (generic term)
anger,5,see red,feel (generic term),experience (generic term),,,,
angle,5,space (generic term),,,,,,
angle,5,slant,point of view (generic term),viewpoint (generic term),stand (generic term),standpoint (generic term),,
angle,5,Angle,European (generic term),,,,,
angle,5,travel (generic term),go (generic term),move (generic term),locomote (generic term),,,
angle,5,lean,tilt,tip,slant,bend (generic term),flex (generic term),tip over (related term)
angle,5,fish,search (generic term),seek (generic term),look for (generic term),,,
angle,5,fish (generic term),,,,,,
angle,5,slant,weight,bias (generic term),predetermine (generic term),,,
angry,5,aggravated (similar term),provoked (similar term),angered (similar term),enraged (similar term),furious (similar term),infuriated (similar term),maddened (similar term)
angry,5,furious,raging,tempestuous,wild,stormy (similar term),,
angry,5,unhealthy (similar term),,,,,,
angst,5,Angst,anxiety (generic term),,,,,
angus,5,Angus Og,Aengus,Oengus,Angus,Celtic deity (generic term),,
angus,5,Aberdeen Angus,Angus,black Angus,beef (generic term),beef cattle (generic term),,
anile,5,old (similar term),,,,,,
anima,5,self (generic term),ego (generic term),,,,,
anime,5,Zanzibar copal,copal (generic term),,,,,
anime,5,gum anime,natural resin (generic term),,,,,
anion,5,ion (generic term),,,,,,
anise,5,anise plant,Pimpinella anisum,herb (generic term),herbaceous plant (generic term),,,
anise,5,aniseed,flavorer (generic term),flavourer (generic term),flavoring (generic term),flavouring (generic term),seasoner (generic term),seasoning (generic term)
anjou,5,Anjou,French region (generic term),,,,,
anjou,5,pear (generic term),,,,,,
ankle,5,ankle joint,mortise joint,articulatio talocruralis,gliding joint (generic term),articulatio plana (generic term),,
ankus,5,prod (generic term),goad (generic term),,,,,
annam,5,Vietnam,Socialist Republic of Vietnam,Viet Nam,Annam,Asian country (generic term),Asian nation (generic term),
annex,5,annexe,extension,wing,addition (generic term),add-on (generic term),improver (generic term),
annex,5,assume (generic term),usurp (generic term),seize (generic term),take over (generic term),arrogate (generic term),,
annex,5,append (generic term),add on (generic term),supplement (generic term),affix (generic term),,,
annoy,5,rag,get to,bother,get at,irritate,rile,nark
annul,5,invalidate,quash,void,avoid,nullify,cancel (generic term),strike down (generic term)
annul,5,revoke,lift,countermand,reverse,repeal,overturn,rescind
annum,5,year (generic term),twelvemonth (generic term),yr (generic term),,,,
annwn,5,Annwfn,Annwn,imaginary place (generic term),mythical place (generic term),fictitious place (generic term),,
anode,5,electrode (generic term),cathode (antonym),,,,,
anode,5,terminal (generic term),pole (generic term),cathode (antonym),,,,
anole,5,American chameleon,Anolis carolinensis,iguanid (generic term),iguanid lizard (generic term),,,
anomy,5,anomie,isolation (generic term),,,,,
anomy,5,anomie,immorality (generic term),,,,,
anon.,5,anonymous,nameless (similar term),unidentified (similar term),unknown (similar term),unnamed (similar term),onymous (antonym),
anova,5,analysis of variance,ANOVA,multivariate analysis (generic term),,,,
anser,5,Anser,genus Anser,bird genus (generic term),,,,
antic,5,fantastic,fantastical,grotesque,strange (similar term),unusual (similar term),,
antic,5,joke,prank,trick,caper,put-on,diversion (generic term),recreation (generic term)
antic,5,clown,clown around,joke (generic term),jest (generic term),,,
antsy,5,fidgety,fretful,itchy,restless,unquiet (similar term),,
antum,5,Antum,Semitic deity (generic term),,,,,
anura,5,Salientia,order Salientia,Anura,order Anura,Batrachia,order Batrachia,animal order (generic term)
anvil,5,block (generic term),,,,,,
anvil,5,incus,auditory ossicle (generic term),,,,,
anzac,5,Anzac,soldier (generic term),,,,,
anzio,5,Anzio,town (generic term),,,,,
